"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.697111876E0,-8.705055714E-2,1.540908813E-1,-3.700227737E-1
1.702008179E0,-7.399910688E-2,2.088117599E-1,-4.666217566E-1
1.706904481E0,2.253055573E-2,2.253961563E-1,-6.025588512E-1
1.711800783E0,1.472962797E-1,2.016067505E-1,-6.490572691E-1
1.716697137E0,2.737708986E-1,1.614189148E-1,-5.656507015E-1
1.721593439E0,3.420105875E-1,2.433004379E-1,-4.813649654E-1
1.726489741E0,3.686217368E-1,3.728904724E-1,-5.846794844E-1
1.731404272E0,4.441079497E-1,3.877410889E-1,-6.863757372E-1
1.736282397E0,4.202101529E-1,3.024625778E-1,-6.475547552E-1
1.741178699E0,3.304075003E-1,3.011131287E-1,-5.327126980E-1
1.746075054E0,1.893767416E-1,3.499736786E-1,-4.443491697E-1
1.750971356E0,1.338188648E-1,3.104267120E-1,-3.154765368E-1
1.755867658E0,2.785704136E-1,2.400398254E-1,-4.925867319E-1
1.760763960E0,2.270901203E-1,-1.428575516E-1,-1.937428713E-1
1.765660314E0,1.899520159E-1,-4.292392731E-1,3.486585617E-1
1.770556616E0,1.240364909E-1,-3.926191330E-1,6.780464649E-1
1.775452918E0,3.183233738E-2,-3.848190308E-1,7.208489180E-1
1.780349272E0,-1.009911299E-2,-5.274963379E-1,6.425513029E-1
1.785245574E0,2.233999968E-2,-7.199630737E-1,6.128765345E-1
1.790160054E0,1.411663890E-1,-8.212327957E-1,4.453407526E-1
1.795038179E0,2.156171799E-1,-7.575597763E-1,1.829261780E-1
1.799934533E0,2.530474067E-1,-7.036428452E-1,-5.748283863E-2
1.804830835E0,3.924208283E-1,-6.021518707E-1,-2.451640368E-1
1.809745314E0,2.892727852E-1,-7.492380142E-1,-1.319063902E-1
1.814623491E0,-8.367478848E-3,-7.359733582E-1,-8.604502678E-2
1.819537970E0,-1.493921876E-1,-5.293684006E-1,2.870559692E-2
1.824416095E0,-1.123801470E-1,-4.857559204E-1,5.487883091E-2
1.829312397E0,-5.782651901E-2,-6.524314880E-1,1.002194881E-1
1.834208751E0,6.444823742E-2,-6.946010590E-1,8.359944820E-2
1.839105054E0,7.755595446E-2,-6.962022781E-1,1.199946404E-1
1.844001356E0,3.166192770E-2,-6.525382996E-1,8.258581161E-2
1.848897710E0,-8.300977945E-2,-5.517902374E-1,9.108614922E-2
1.853794012E0,-8.255136013E-2,-2.866439819E-1,2.104544640E-2
1.858690314E0,-2.350513339E-1,-2.968664169E-1,2.120007277E-1
1.863586668E0,-4.140599668E-1,-3.572845459E-1,5.441970825E-1
1.868482970E0,-5.598804951E-1,-3.197393417E-1,8.644933701E-1
1.873379272E0,-5.722271800E-1,-2.608718872E-1,9.841028452E-1
1.878275626E0,-5.418238044E-1,-2.070131302E-1,9.583535194E-1
1.883171929E0,-5.402855277E-1,-2.225780487E-1,8.422898054E-1
1.888068231E0,-4.981487095E-1,-2.739267349E-1,7.338309288E-1
1.892964533E0,-4.794854522E-1,-3.299627304E-1,6.185957193E-1
1.897860887E0,-4.384494424E-1,-3.118953705E-1,4.797339439E-1
1.902757189E0,-3.820617199E-1,-2.485532761E-1,2.836307287E-1
1.907653491E0,-3.199337125E-1,-1.447343826E-1,8.473443985E-2
